StartDate,EndDate,Progress,Duration__in_seconds_,RecordedDate,ResponseId,Consent,DS1_1,DS1_2,DS1_3,DS1_4,DS1_5,DS1_6,DS1_7,DS1_8,DS1_9,DS1_10,DS2_1,DS2_2,DS2_3,DS2_4,DS2_5,DS2_6,DS2_7,DS2_8,DS2_9,DS2_10,DS3_1,DS3_2,DS3_3,DS3_4,DS3_5,DS3_6,DS3_7,DS3_8,DS3_9,DS3_10,DS4_1,DS4_2,DS4_3,DS4_4,DS4_5,DS4_6,DS4_7,DS4_8,DS4_9,DS4_10,DS5_1,DS5_2,DS5_3,DS5_4,DS5_5,DS5_6,DS5_7,DS5_8,DS5_9,DS5_10,DS6_1,DS6_2,DS6_3,DS6_4,DS6_5,DS6_6,DS6_7,DS6_8,DS6_9,DS6_10,DS7_1,DS7_2,DS7_3,DS7_4,DS7_5,DS7_6,DS7_7,DS7_8,DS7_9,DS7_10,DS8_1,DS8_2,DS8_3,DS8_4,DS8_5,DS8_6,DS8_7,DS8_8,DS8_9,DS8_10,Gender,Gender_3_TEXT,Age,Nation,Edu,Latinx,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_6_TEXT
3/16/2021 5:29:53,3/16/2021 5:43:12,100,799,3/16/2021 5:43:13,R_XUs0DGA1SR7cnQd,1,3,2,5,5,4,2,4,2,5,3,2,3,2,2,2,2,3,2,2,2,3,2,2,3,3,6,4,5,3,4,3,4,5,5,5,5,5,5,3,3,5,5,3,5,5,3,4,2,3,5,5,5,3,3,3,5,4,3,5,5,4,3,5,2,4,5,5,3,5,2,5,2,5,6,2,4,3,5,4,3,2, ,34,45,25, , , , , , , , 
3/16/2021 5:29:45,3/16/2021 5:38:49,100,543,3/16/2021 5:38:49,R_1eVrtrKQ2VAQqMa,1,7,2,2,7,6,1,2,6,5,2,3,7,2,3,7,5,5,3,7,7,7,1,1,7,2,7,5,7,7,7,6,5,6,7,5,2,7,6,6,3,1,2,1,5,2,2,2,7,7,7,7,5,2,2,1,7,7,2,7,7,7,7,7,1,7,1,5,7,3,7,3,3,5,7,3,5,7,6,7,7,1, ,28,161,16, , , , , , , , 
3/16/2021 5:29:45,3/16/2021 5:39:43,100,597,3/16/2021 5:39:43,R_3G8SgJ1NqjKm8FI,1,2,2,5,6,2,1,1,1,6,2,1,2,1,1,2,7,1,3,2,1,3,2,1,2,2,7,1,7,2,7,3,3,1,2,6,2,6,7,2,5,6,1,1,1,2,7,1,1,2,1,6,3,6,5,1,5,5,1,6,5,3,6,2,1,2,1,5,2,6,2,5,6,1,7,1,2,3,4,6,5,1, ,34,138,12, , , , , , , , 
3/16/2021 5:29:52,3/16/2021 5:42:43,100,770,3/16/2021 5:42:43,R_279gka0ywn0VSS8,1,2,2,3,3,3,3,2,2,4,2,2,2,2,2,2,3,5,2,2,2,2,2,2,2,2,5,2,5,2,5,2,2,2,2,2,2,2,2,2,2,5,5,2,2,2,5,2,2,2,2,2,2,2,2,2,6,5,2,2,2,2,2,5,5,2,6,5,2,2,2,5,5,5,5,2,2,4,2,6,5,1, ,20,158,13, , , , , , , , 
3/16/2021 5:29:52,3/16/2021 5:38:13,100,500,3/16/2021 5:38:13,R_0NubTwgs2lk5Ag9,1,2,5,3,5,5,1,2,2,5,3,2,2,2,2,2,2,2,3,2,3,2,2,1,2,2,1,1,5,2,4,3,4,1,5,5,5,5,4,4,5,3,2,2,2,2,2,2,2,2,2,2,3,5,3,2,3,5,2,2,3,2,5,2,2,2,1,4,2,6,2,6,5,2,5,2,2,5,4,2,3,1, ,21,138,15, , , , , , , , 
3/16/2021 5:29:53,3/16/2021 5:32:57,100,183,3/16/2021 5:32:58,R_riF3XIyyOhYmZgJ,1,4,5,4,3,4,5,4,4,5,4,5,5,4,6,4,5,4,5,4,5,4,5,5,4,5,6,4,5,5,5,4,4,4,4,4,5,5,5,4,5,5,5,5,5,4,5,4,5,4,4,5,5,4,4,4,5,5,5,4,4,4,4,5,5,5,5,5,4,4,5,5,5,4,4,4,5,4,5,4,4,1, ,21,137,12, , , , , , , , 
3/16/2021 5:30:09,3/16/2021 5:42:04,100,714,3/16/2021 5:42:05,R_3imbQuy1hO8Rznf,1,2,4,5,4,5,2,2,3,5,3,1,2,6,1,3,1,2,1,1,6,2,3,3,2,3,1,1,4,2,3,2,3,1,3,6,5,5,5,3,3,6,1,1,1,1,5,1,1,1,2,2,3,2,6,2,6,5,2,5,5,6,6,5,2,5,2,5,2,5,2,6,6,3,6,2,2,2,4,6,5,2, ,69,185,15, , , , , , , , 
3/16/2021 5:30:01,3/16/2021 5:39:38,100,576,3/16/2021 5:39:38,R_ywk697VIz4cG4Ux,1,1,1,3,1,1,1,1,1,7,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,4,7,1,7,2,7,1,1,1,1,7,6,5,6,3,1,5,1,1,1,1,6,1,1,2,1,1,1,7,1,1,3,7,1,3,2,3,5,1,1,1,3,3,1,6,1,5,5,1,7,1,1,1,1,1,5,1, ,22,138,17, , , , , , , , 
3/16/2021 5:30:38,3/16/2021 5:39:53,100,555,3/16/2021 5:39:53,R_2taIuXHinnzm7Lr,1,5,6,5,2,6,2,5,2,4,6,2,3,7,2,2,4,1,2,2,4,1,2,4,4,2,5,1,1,5,2,3,4,3,2,6,5,5,6,5,6,6,3,4,7,6,1,4,5,5,3,5,5,4,4,5,3,5,5,5,5,3,3,2,6,2,6,3,1,3,2,7,6,6,7,2,5,7,5,6,6,2, ,43,163,15, , , , , , , , 
3/16/2021 5:30:39,3/16/2021 5:45:09,100,870,3/16/2021 5:45:10,R_2aRLnsiPOKcEUZf,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,5,5,6,5,1,5,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,4,4,1,5,5,1,4,1,2,1,5,5,1,4,1,6,4,4,7,1,1,4,1,5,5,2, ,20,185,13, , , , , , , , 
